Term,GE2016,SavillsU,Relativity,SavillsE
68.75,84.14,83.7,83.92,87
69,84.3,83.9,84.1,87.1
69.25,84.46,84,84.23,87.2
69.5,84.61,84.2,84.41,87.2
69.75,84.77,84.3,84.53,87.3
70,84.93,84.4,84.66,87.4
70.25,85.08,84.6,84.84,87.5
70.5,85.24,84.7,84.97,87.6
70.75,85.4,84.9,85.15,87.7
71,85.56,85,85.28,87.8
71.25,85.71,85.1,85.4,87.9
71.5,85.85,85.3,85.58,87.9
71.75,86,85.4,85.7,88
72,86.15,85.5,85.83,88.1
72.25,86.3,85.7,86,88.2
72.5,86.44,85.8,86.12,88.3
72.75,86.59,85.9,86.24,88.4
73,86.73,86.1,86.42,88.4
73.25,86.88,86.2,86.54,88.5
73.5,87.02,86.3,86.66,88.6
73.75,87.16,86.4,86.78,88.7
74,87.3,86.6,86.95,88.8
74.25,87.45,86.7,87.07,88.8
74.5,87.59,86.8,87.19,88.9
74.75,87.73,86.9,87.32,89
75,87.87,87.1,87.49,89.1
75.25,88.02,87.2,87.61,89.1
75.5,88.16,87.3,87.73,89.2
75.75,88.3,87.4,87.85,89.3
76,88.44,87.6,88.02,89.4
76.25,88.58,87.7,88.14,89.4
76.5,88.71,87.8,88.25,89.5
76.75,88.84,87.9,88.37,89.6
77,88.98,88,88.49,89.7
77.25,89.11,88.1,88.6,89.7
77.5,89.23,88.3,88.77,89.8
77.75,89.36,88.4,88.88,89.9
78,89.49,88.5,89,90
78.25,89.62,88.6,89.11,90
78.5,89.74,88.7,89.22,90.1
78.75,89.87,88.8,89.34,90.2
79,90,88.9,89.45,90.2
79.25,90.12,89,89.56,90.3
79.5,90.25,89.2,89.72,90.4
79.75,90.38,89.3,89.84,90.4
80,90.5,89.4,89.95,90.5
